date,value
10/20/2025,267
,0
,0
10/20/2025,568
10/20/2025,195
10/20/2025,239
10/20/2025,142
10/20/2025,198
10/20/2025,499
,0
,0
10/20/2025,139
10/20/2025,47
,
10/20/2025,354
10/20/2025,256
10/20/2025,1326
10/20/2025,773
10/20/2025,867
10/20/2025,1779
,0
,0
10/20/2025,482
10/20/2025,184
,0
10/17/2025,369
10/17/2025,334
10/17/2025,480
10/17/2025,0
,0
,
10/17/2025,181
10/17/2025,491
,0
,
,
10/17/2025,357
10/17/2025,816
10/17/2025,563
10/17/2025,845
10/17/2025,312
,
10/17/2025,311
,0
10/17/2025,623
10/17/2025,309
10/17/2025,380
10/17/2025,981
,0
10/17/2025,394
10/16/2025,71
,0
,0
,0
10/16/2025,112
,0
10/16/2025,646
,0
10/16/2025,735
10/16/2025,958
10/16/2025,338
10/16/2025,586
,0
10/16/2025,906
10/16/2025,489
10/16/2025,297
10/16/2025,425
10/16/2025,177
,0
10/16/2025,618
,0
10/16/2025,140
10/16/2025,136
10/16/2025,734
10/15/2025,711
10/15/2025,469
10/15/2025,404
10/15/2025,995
10/15/2025,757
10/15/2025,617
10/15/2025,1582
,0
10/15/2025,0
10/15/2025,0
10/15/2025,0
10/15/2025,750
10/15/2025,799
,0
,0
,0
,0
10/15/2025,254
10/15/2025,144
10/15/2025,711
10/15/2025,215
10/15/2025,103
10/15/2025,283
10/15/2025,223
,0
10/15/2025,119
10/15/2025,163
10/15/2025,722
10/15/2025,374
10/15/2025,492
10/15/2025,1120
10/15/2025,753
10/15/2025,753
10/14/2025,729
10/14/2025,413
,0
10/14/2025,755
10/14/2025,120
10/14/2025,449
10/14/2025,398
10/14/2025,1002
10/14/2025,568
10/14/2025,773
,
10/14/2025,175
10/14/2025,232
10/14/2025,363
10/14/2025,1200
10/14/2025,573
,0
10/14/2025,766
,
10/14/2025,253
,
10/14/2025,180
10/14/2025,325
10/14/2025,802
10/14/2025,408
10/14/2025,548
10/13/2025,194
,0
10/13/2025,748
,
10/13/2025,2020
,0
,0
,0
,0
,0
,0
10/13/2025,261
10/13/2025,340
10/13/2025,168
10/13/2025,530
10/13/2025,1866
10/13/2025,941
10/13/2025,758
,0
,0
,0
10/13/2025,890
,
